ID,travel_time
Truck86400,290.0
Truck86401,290.0
Truck86402,290.0
Truck86403,290.0
Truck86404,290.0
Truck86405,290.0
Truck86406,290.0
Truck86407,290.0
Truck86409,290.0
Truck86410,290.0
Truck86411,290.0
Truck86412,290.0
Truck86413,290.0
Truck86415,290.0
Truck86416,290.0
Truck86417,290.0
Truck86418,290.0
Truck86419,290.0
Truck86420,290.0
Truck86421,290.0
Truck86422,290.0
Truck86423,290.0
Truck86424,290.0
Truck86425,290.0
Truck86426,290.0
Truck86427,290.0
Truck86414,322.0
Truck86428,290.0
Truck86430,290.0
Truck86431,290.0
Truck86432,290.0
Truck86433,290.0
Truck86434,290.0
Truck86435,290.0
Truck86436,290.0
Truck86437,290.0
Truck86429,312.0
Truck86438,290.0
Truck86439,290.0
Truck86408,370.0
Truck86440,290.0
Truck86441,290.0
Truck86442,290.0
Truck86443,290.0
Truck86444,290.0
Truck86445,290.0
Truck86447,290.0
Truck86449,290.0
Truck86450,290.0
Truck86451,290.0
Truck86452,290.0
Truck86453,290.0
Truck86454,290.0
Truck86455,290.0
Truck86446,312.0
Truck86456,290.0
Truck86457,290.0
Truck86458,290.0
Truck86459,290.0
Truck86460,290.0
Truck86461,290.0
Truck86462,290.0
Truck86463,290.0
Truck86464,290.0
Truck86465,290.0
Truck86466,290.0
Truck86467,290.0
Truck86448,339.0
Truck86468,290.0
Truck86469,290.0
Truck86470,290.0
Truck86471,290.0
Truck86472,290.0
Truck86473,290.0
Truck86475,290.0
Truck86476,290.0
Truck86477,290.0
Truck86478,290.0
Truck86479,290.0
Truck86480,290.0
Truck86482,290.0
Truck86483,290.0
Truck86484,290.0
Truck86485,290.0
Truck86486,290.0
Truck86488,290.0
Truck86490,290.0
Truck86491,290.0
Truck86492,290.0
Truck86493,290.0
Truck86474,338.0
Truck86494,290.0
Truck86495,290.0
Truck86499,290.0
Truck86500,290.0
Truck86501,290.0
Truck86503,290.0
Truck86489,326.0
Truck86504,290.0
Truck86505,290.0
Truck86498,308.0
Truck86506,290.0
Truck86481,358.0
Truck86509,290.0
Truck86510,290.0
Truck86511,290.0
Truck86512,290.0
Truck86513,290.0
Truck86496,332.0
Truck86497,333.0
Truck86507,309.0
Truck86502,320.0
Truck86514,290.0
Truck86515,290.0
Truck86516,290.0
Truck86518,290.0
Truck86519,290.0
Truck86487,375.0
Truck86520,290.0
Truck86521,290.0
Truck86522,290.0
Truck86523,290.0
Truck86524,290.0
Truck86526,290.0
Truck86527,290.0
Truck86528,290.0
Truck86529,290.0
Truck86530,290.0
Truck86517,328.0
Truck86532,290.0
Truck86533,290.0
Truck86534,290.0
Truck86535,290.0
Truck86536,290.0
Truck86537,290.0
Truck86525,324.0
Truck86538,290.0
Truck86539,290.0
Truck86508,370.0
Truck86531,319.0
Truck86542,290.0
Truck86544,290.0
Truck86545,290.0
Truck86546,290.0
Truck86547,290.0
Truck86548,290.0
Truck86550,290.0
Truck86551,290.0
Truck86540,318.0
Truck86552,290.0
Truck86553,290.0
Truck86554,290.0
Truck86555,290.0
Truck86556,290.0
Truck86557,290.0
Truck86559,290.0
Truck86560,290.0
Truck86561,290.0
Truck86541,343.0
Truck86562,290.0
Truck86563,290.0
Truck86564,290.0
Truck86565,290.0
Truck86566,290.0
Truck86567,290.0
Truck86543,351.0
Truck86568,290.0
Truck86569,290.0
Truck86549,345.0
Truck86570,290.0
Truck86572,290.0
Truck86573,290.0
Truck86574,290.0
Truck86575,290.0
Truck86576,290.0
Truck86577,290.0
Truck86558,336.0
Truck86578,290.0
Truck86579,290.0
Truck86580,290.0
Truck86581,290.0
Truck86582,290.0
Truck86583,290.0
Truck86584,290.0
Truck86585,290.0
Truck86586,290.0
Truck86588,290.0
Truck86589,290.0
Truck86571,336.0
Truck86590,290.0
Truck86591,290.0
Truck86592,290.0
Truck86593,290.0
Truck86594,290.0
Truck86595,290.0
Truck86596,290.0
Truck86597,290.0
Truck86598,290.0
Truck86599,290.0
Truck86587,325.0
Truck86600,290.0
Truck86601,290.0
Truck86602,290.0
Truck86603,290.0
Truck86604,290.0
Truck86605,290.0
Truck86607,290.0
Truck86608,290.0
Truck86609,290.0
Truck86610,290.0
Truck86611,290.0
Truck86612,290.0
Truck86613,290.0
Truck86614,290.0
Truck86615,290.0
Truck86616,290.0
Truck86617,290.0
Truck86618,290.0
Truck86619,290.0
Truck86620,290.0
Truck86621,290.0
Truck86622,290.0
Truck86623,290.0
Truck86606,335.0
Truck86624,290.0
Truck86625,290.0
Truck86626,290.0
Truck86627,290.0
Truck86628,290.0
Truck86629,290.0
Truck86630,290.0
Truck86631,290.0
Truck86632,290.0
Truck86633,290.0
Truck86634,290.0
Truck86635,290.0
Truck86636,290.0
Truck86637,290.0
Truck86638,290.0
Truck86639,290.0
Truck86640,290.0
Truck86641,290.0
Truck86643,290.0
Truck86644,290.0
Truck86645,290.0
Truck86646,290.0
Truck86647,290.0
Truck86648,290.0
Truck86649,290.0
Truck86650,290.0
Truck86651,290.0
Truck86652,290.0
Truck86653,290.0
Truck86654,290.0
Truck86655,290.0
Truck86642,322.0
Truck86656,290.0
Truck86657,290.0
Truck86658,290.0
Truck86659,290.0
Truck86660,290.0
