ID,travel_time
Truck18,375.0
Truck19,382.0
Truck2,448.0
Truck1,457.0
Truck27,397.0
Truck4,460.0
Truck33,399.0
Truck12,451.0
Truck32,427.0
Truck50,400.0
Truck16,495.0
Truck43,433.0
Truck9,520.0
Truck40,441.0
Truck22,497.0
Truck17,513.0
Truck63,409.0
Truck38,479.0
Truck34,502.0
Truck35,518.0
Truck0,608.0
Truck47,495.0
Truck3,615.0
Truck23,570.0
Truck55,493.0
Truck13,602.0
Truck7,623.0
Truck29,576.0
Truck95,418.0
Truck8,634.0
Truck66,489.0
Truck97,416.0
Truck67,492.0
Truck78,469.0
Truck86,455.0
Truck6,662.0
Truck39,583.0
Truck79,483.0
Truck36,590.0
Truck48,560.0
Truck10,656.0
Truck118,387.0
Truck69,515.0
Truck73,507.0
Truck24,629.0
Truck26,624.0
Truck56,553.0
Truck37,606.0
Truck64,539.0
Truck77,512.0
Truck31,630.0
Truck49,587.0
Truck92,480.0
Truck25,651.0
Truck20,663.0
Truck91,489.0
Truck71,540.0
Truck81,515.0
Truck21,668.0
Truck28,651.0
Truck80,523.0
Truck119,429.0
Truck112,445.0
Truck122,420.0
Truck46,618.0
Truck70,558.0
Truck90,510.0
Truck11,711.0
Truck84,528.0
Truck96,499.0
Truck53,616.0
Truck45,637.0
Truck15,718.0
Truck52,623.0
Truck85,544.0
Truck42,653.0
Truck54,625.0
Truck101,519.0
Truck105,509.0
Truck41,670.0
Truck44,661.0
Truck51,646.0
Truck60,623.0
Truck83,569.0
Truck82,570.0
Truck142,425.0
Truck62,627.0
Truck74,597.0
Truck57,644.0
Truck115,499.0
Truck102,533.0
Truck109,518.0
Truck59,646.0
Truck76,603.0
Truck14,761.0
Truck30,745.0
Truck68,653.0
Truck88,604.0
Truck93,596.0
Truck87,612.0
Truck106,563.0
Truck125,519.0
Truck137,489.0
Truck126,521.0
Truck114,555.0
Truck58,696.0
Truck107,577.0
Truck171,419.0
Truck116,560.0
Truck61,711.0
Truck72,681.0
Truck110,587.0
Truck104,606.0
Truck5,859.0
Truck100,623.0
Truck128,553.0
Truck117,586.0
Truck132,547.0
Truck127,569.0
Truck94,656.0
Truck207,382.0
Truck108,628.0
Truck180,448.0
Truck174,464.0
Truck134,565.0
Truck197,411.0
Truck161,507.0
Truck217,368.0
Truck149,543.0
Truck98,670.0
Truck157,525.0
Truck141,568.0
Truck168,500.0
Truck123,621.0
Truck167,522.0
Truck169,519.0
Truck153,561.0
Truck151,568.0
Truck147,579.0
Truck210,420.0
Truck172,516.0
Truck145,588.0
Truck211,425.0
Truck135,616.0
Truck146,589.0
Truck200,454.0
Truck136,615.0
Truck133,632.0
Truck111,693.0
Truck189,502.0
Truck164,572.0
Truck163,578.0
Truck166,569.0
Truck124,675.0
Truck198,495.0
Truck213,461.0
Truck216,457.0
Truck226,432.0
Truck113,721.0
Truck121,705.0
Truck140,655.0
Truck175,572.0
Truck150,634.0
Truck236,420.0
Truck75,826.0
Truck155,627.0
Truck159,625.0
Truck138,676.0
Truck165,611.0
Truck220,474.0
Truck148,655.0
Truck242,423.0
Truck191,555.0
Truck204,520.0
Truck131,706.0
Truck202,526.0
Truck162,628.0
Truck251,410.0
Truck239,442.0
Truck143,689.0
Truck184,595.0
Truck160,656.0
Truck212,530.0
Truck178,621.0
Truck229,498.0
Truck186,605.0
Truck209,553.0
Truck233,493.0
Truck222,519.0
Truck223,519.0
Truck65,915.0
Truck179,635.0
Truck187,620.0
Truck245,476.0
Truck129,767.0
Truck238,494.0
Truck249,472.0
Truck99,850.0
Truck139,754.0
Truck244,490.0
Truck89,882.0
Truck277,414.0
Truck227,546.0
Truck120,813.0
Truck144,756.0
Truck257,477.0
Truck252,489.0
Truck208,601.0
Truck240,523.0
Truck265,468.0
Truck253,500.0
Truck203,626.0
Truck241,535.0
Truck214,603.0
Truck170,714.0
Truck192,662.0
Truck228,572.0
Truck316,356.0
Truck156,763.0
Truck181,704.0
Truck130,830.0
Truck232,581.0
Truck325,351.0
Truck183,708.0
Truck263,508.0
Truck201,668.0
Truck326,353.0
Truck152,798.0
Truck196,692.0
Truck267,520.0
Truck315,402.0
Truck158,795.0
Truck273,511.0
Truck188,726.0
