ID,travel_time
Truck115201,290.0
Truck115202,290.0
Truck115204,290.0
Truck115205,290.0
Truck115206,290.0
Truck115207,290.0
Truck115200,308.0
Truck115210,290.0
Truck115211,290.0
Truck115212,290.0
Truck115213,290.0
Truck115217,290.0
Truck115218,290.0
Truck115203,333.0
Truck115221,290.0
Truck115222,290.0
Truck115223,290.0
Truck115224,290.0
Truck115226,290.0
Truck115214,322.0
Truck115229,290.0
Truck115209,341.0
Truck115230,290.0
Truck115231,290.0
Truck115215,335.0
Truck115232,290.0
Truck115233,290.0
Truck115234,290.0
Truck115235,290.0
Truck115216,339.0
Truck115236,290.0
Truck115237,290.0
Truck115219,336.0
Truck115238,290.0
Truck115239,290.0
Truck115225,326.0
Truck115220,338.0
Truck115240,290.0
Truck115243,290.0
Truck115244,290.0
Truck115246,290.0
Truck115247,290.0
Truck115227,341.0
Truck115228,341.0
Truck115242,306.0
Truck115251,290.0
Truck115252,290.0
Truck115253,290.0
Truck115255,290.0
Truck115245,318.0
Truck115256,290.0
Truck115258,290.0
Truck115259,290.0
Truck115241,336.0
Truck115208,418.0
Truck115260,290.0
Truck115261,290.0
Truck115250,317.0
Truck115249,324.0
Truck115262,290.0
Truck115263,290.0
Truck115248,326.0
Truck115264,290.0
Truck115265,290.0
Truck115267,290.0
Truck115268,290.0
Truck115270,290.0
Truck115271,290.0
Truck115272,290.0
Truck115273,290.0
Truck115254,336.0
Truck115266,309.0
Truck115274,290.0
Truck115277,290.0
Truck115278,290.0
Truck115279,290.0
Truck115269,320.0
Truck115281,290.0
Truck115275,310.0
Truck115282,290.0
Truck115283,290.0
Truck115284,290.0
Truck115285,290.0
Truck115287,290.0
Truck115257,368.0
Truck115288,290.0
Truck115290,290.0
Truck115291,290.0
Truck115294,290.0
Truck115280,331.0
Truck115286,319.0
Truck115276,345.0
Truck115298,290.0
Truck115299,290.0
Truck115300,290.0
Truck115301,290.0
Truck115302,290.0
Truck115303,290.0
Truck115297,310.0
Truck115304,290.0
Truck115305,290.0
Truck115306,290.0
Truck115307,290.0
Truck115309,290.0
Truck115310,290.0
Truck115311,290.0
Truck115296,335.0
Truck115314,290.0
Truck115315,290.0
Truck115316,290.0
Truck115317,290.0
Truck115318,290.0
Truck115319,290.0
Truck115295,352.0
Truck115293,358.0
Truck115289,369.0
Truck115321,290.0
Truck115312,313.0
Truck115322,290.0
Truck115323,290.0
Truck115292,366.0
Truck115324,290.0
Truck115326,290.0
Truck115327,290.0
Truck115328,290.0
Truck115331,290.0
Truck115332,290.0
Truck115333,290.0
Truck115335,290.0
Truck115336,290.0
Truck115337,290.0
Truck115320,332.0
Truck115308,364.0
Truck115330,314.0
Truck115325,330.0
Truck115340,290.0
Truck115341,290.0
Truck115342,290.0
Truck115343,290.0
Truck115344,290.0
Truck115345,290.0
Truck115334,316.0
Truck115347,290.0
Truck115348,290.0
Truck115349,290.0
Truck115350,290.0
Truck115352,290.0
Truck115353,290.0
Truck115355,290.0
Truck115346,312.0
Truck115357,290.0
Truck115359,290.0
Truck115329,368.0
Truck115339,343.0
Truck115360,290.0
Truck115361,290.0
Truck115313,411.0
Truck115362,290.0
Truck115363,290.0
Truck115364,290.0
Truck115365,290.0
Truck115367,290.0
Truck115351,333.0
Truck115369,290.0
Truck115356,322.0
Truck115370,290.0
Truck115371,290.0
Truck115372,290.0
Truck115374,290.0
Truck115375,290.0
Truck115354,341.0
Truck115366,322.0
Truck115380,290.0
Truck115383,290.0
Truck115368,326.0
Truck115384,290.0
Truck115385,290.0
Truck115338,408.0
Truck115386,290.0
Truck115387,290.0
Truck115358,362.0
Truck115388,290.0
Truck115389,290.0
Truck115390,290.0
Truck115391,290.0
Truck115376,328.0
Truck115392,290.0
Truck115373,343.0
Truck115394,290.0
Truck115395,290.0
Truck115396,290.0
Truck115397,290.0
Truck115379,339.0
Truck115378,340.0
Truck115398,290.0
Truck115399,290.0
Truck115400,290.0
Truck115403,290.0
Truck115404,290.0
Truck115381,352.0
Truck115393,322.0
Truck115406,290.0
Truck115407,290.0
Truck115408,290.0
Truck115409,290.0
Truck115382,358.0
Truck115410,290.0
Truck115411,290.0
Truck115412,290.0
Truck115414,290.0
Truck115415,290.0
Truck115416,290.0
Truck115417,290.0
Truck115377,395.0
Truck115418,290.0
Truck115420,290.0
Truck115421,290.0
Truck115402,338.0
Truck115422,290.0
Truck115424,290.0
Truck115425,290.0
Truck115426,290.0
Truck115427,290.0
Truck115401,360.0
Truck115428,290.0
Truck115430,290.0
Truck115431,290.0
Truck115423,313.0
Truck115433,290.0
Truck115434,290.0
Truck115436,290.0
Truck115437,290.0
Truck115419,340.0
Truck115438,290.0
Truck115439,290.0
Truck115440,290.0
Truck115435,307.0
Truck115442,290.0
Truck115444,290.0
Truck115445,290.0
Truck115429,335.0
Truck115446,290.0
Truck115447,290.0
Truck115405,396.0
Truck115448,290.0
Truck115450,290.0
Truck115452,290.0
Truck115453,290.0
Truck115454,290.0
Truck115455,290.0
Truck115432,348.0
Truck115456,290.0
Truck115457,290.0
Truck115413,401.0
Truck115459,290.0
Truck115443,332.0
Truck115441,338.0
Truck115461,290.0
Truck115451,320.0
Truck115462,290.0
Truck115463,290.0
Truck115464,290.0
Truck115465,290.0
Truck115466,290.0
Truck115467,290.0
Truck115468,290.0
Truck115469,290.0
Truck115458,320.0
Truck115470,290.0
Truck115472,290.0
Truck115449,353.0
Truck115474,290.0
Truck115476,290.0
Truck115477,290.0
Truck115471,309.0
Truck115478,290.0
Truck115479,290.0
Truck115480,290.0
Truck115482,290.0
Truck115460,352.0
Truck115473,322.0
Truck115486,290.0
Truck115487,290.0
Truck115488,290.0
Truck115489,290.0
Truck115490,290.0
Truck115491,290.0
Truck115493,290.0
Truck115494,290.0
Truck115495,290.0
Truck115483,322.0
Truck115484,318.0
Truck115485,323.0
Truck115498,290.0
Truck115499,290.0
Truck115502,290.0
Truck115503,290.0
Truck115481,347.0
Truck115504,290.0
Truck115505,290.0
Truck115507,290.0
Truck115497,316.0
Truck115501,308.0
Truck115508,290.0
Truck115509,290.0
Truck115475,379.0
Truck115511,290.0
Truck115496,326.0
Truck115512,290.0
Truck115513,290.0
Truck115514,290.0
Truck115516,290.0
