ID,travel_time
Truck172800,303.0
Truck172808,290.0
Truck172804,302.0
Truck172805,303.0
Truck172812,290.0
Truck172807,307.0
Truck172815,290.0
Truck172819,290.0
Truck172821,290.0
Truck172801,341.0
Truck172816,306.0
Truck172803,357.0
Truck172802,358.0
Truck172813,334.0
Truck172814,333.0
Truck172825,310.0
Truck172826,305.0
Truck172833,312.0
Truck172842,290.0
Truck172827,333.0
Truck172844,290.0
Truck172822,346.0
Truck172832,321.0
Truck172811,377.0
Truck172847,290.0
Truck172820,357.0
Truck172840,307.0
Truck172834,325.0
Truck172848,290.0
Truck172830,341.0
Truck172824,357.0
Truck172828,360.0
Truck172839,336.0
Truck172852,303.0
Truck172845,325.0
Truck172851,310.0
Truck172853,306.0
Truck172843,335.0
Truck172806,429.0
Truck172863,290.0
Truck172846,331.0
Truck172856,306.0
Truck172818,402.0
Truck172838,354.0
Truck172831,378.0
Truck172861,304.0
Truck172835,370.0
Truck172857,315.0
Truck172809,439.0
Truck172862,306.0
Truck172810,437.0
Truck172865,304.0
Truck172870,290.0
Truck172860,317.0
Truck172866,302.0
Truck172817,431.0
Truck172867,306.0
Truck172829,405.0
Truck172871,304.0
Truck172823,435.0
Truck172875,308.0
Truck172841,395.0
Truck172837,407.0
Truck172859,353.0
Truck172874,314.0
Truck172885,290.0
Truck172850,379.0
Truck172858,359.0
Truck172869,335.0
Truck172855,386.0
Truck172849,410.0
Truck172884,322.0
Truck172880,333.0
Truck172894,305.0
Truck172882,341.0
Truck172836,457.0
Truck172899,306.0
Truck172889,334.0
Truck172877,365.0
Truck172907,290.0
Truck172873,376.0
Truck172886,342.0
Truck172854,426.0
Truck172890,338.0
Truck172910,290.0
Truck172878,371.0
Truck172908,301.0
Truck172887,357.0
Truck172900,322.0
Truck172901,325.0
Truck172909,309.0
Truck172881,381.0
Truck172872,403.0
Truck172896,343.0
Truck172898,340.0
Truck172892,358.0
Truck172897,348.0
Truck172902,338.0
Truck172923,290.0
Truck172895,362.0
Truck172904,339.0
Truck172925,290.0
Truck172913,323.0
Truck172919,309.0
Truck172926,290.0
Truck172914,323.0
Truck172918,315.0
Truck172864,453.0
Truck172906,349.0
Truck172917,324.0
Truck172930,290.0
Truck172928,301.0
Truck172911,347.0
Truck172915,338.0
Truck172931,301.0
Truck172905,368.0
Truck172888,410.0
Truck172936,290.0
Truck172932,310.0
Truck172868,479.0
Truck172893,428.0
Truck172941,311.0
Truck172879,469.0
Truck172940,314.0
Truck172876,476.0
Truck172921,369.0
Truck172952,290.0
Truck172916,390.0
Truck172956,290.0
Truck172934,347.0
Truck172912,411.0
Truck172929,375.0
Truck172945,337.0
Truck172935,365.0
Truck172965,290.0
Truck172922,397.0
Truck172891,478.0
Truck172943,350.0
Truck172967,290.0
Truck172903,452.0
Truck172957,320.0
Truck172933,381.0
Truck172883,508.0
Truck172924,412.0
Truck172966,307.0
Truck172955,339.0
Truck172962,328.0
