ID,travel_time
Truck144000,290.0
Truck144001,290.0
Truck144003,290.0
Truck144005,290.0
Truck144007,290.0
Truck144006,299.0
Truck144011,290.0
Truck144017,290.0
Truck144012,302.0
Truck144018,290.0
Truck144002,334.0
Truck144020,290.0
Truck144015,309.0
Truck144010,322.0
Truck144009,328.0
Truck144004,339.0
Truck144025,290.0
Truck144027,290.0
Truck144024,300.0
Truck144028,290.0
Truck144013,333.0
Truck144014,334.0
Truck144023,315.0
Truck144032,290.0
Truck144029,305.0
Truck144019,332.0
Truck144031,304.0
Truck144033,301.0
Truck144039,290.0
Truck144022,336.0
Truck144042,290.0
Truck144043,290.0
Truck144045,290.0
Truck144046,290.0
Truck144047,290.0
Truck144008,389.0
Truck144048,290.0
Truck144049,290.0
Truck144026,346.0
Truck144037,325.0
Truck144050,290.0
Truck144051,290.0
Truck144034,332.0
Truck144054,290.0
Truck144041,328.0
Truck144056,290.0
Truck144030,357.0
Truck144058,290.0
Truck144059,290.0
Truck144021,390.0
Truck144035,355.0
Truck144060,290.0
Truck144036,353.0
Truck144062,290.0
Truck144065,290.0
Truck144066,290.0
Truck144067,290.0
Truck144055,322.0
Truck144061,309.0
Truck144069,290.0
Truck144070,290.0
Truck144053,336.0
Truck144044,357.0
Truck144072,290.0
Truck144073,290.0
Truck144057,332.0
Truck144076,290.0
Truck144077,290.0
Truck144016,444.0
Truck144079,290.0
Truck144071,319.0
Truck144052,371.0
Truck144068,335.0
Truck144087,290.0
Truck144090,290.0
Truck144091,290.0
Truck144074,333.0
Truck144092,290.0
Truck144094,290.0
Truck144095,290.0
Truck144084,319.0
Truck144096,290.0
Truck144097,290.0
Truck144064,373.0
Truck144088,313.0
Truck144093,304.0
Truck144099,290.0
Truck144040,437.0
Truck144063,383.0
Truck144038,445.0
Truck144100,290.0
Truck144082,339.0
Truck144080,353.0
Truck144085,343.0
Truck144106,290.0
Truck144103,301.0
Truck144108,290.0
Truck144078,370.0
Truck144089,346.0
Truck144105,306.0
Truck144112,290.0
Truck144114,290.0
Truck144110,303.0
Truck144075,395.0
Truck144101,330.0
Truck144116,290.0
Truck144107,324.0
Truck144125,290.0
Truck144104,341.0
Truck144109,332.0
Truck144117,314.0
Truck144126,290.0
Truck144121,308.0
Truck144128,290.0
Truck144129,290.0
Truck144130,290.0
Truck144123,313.0
Truck144119,325.0
Truck144132,290.0
Truck144133,290.0
Truck144113,341.0
Truck144122,316.0
Truck144081,424.0
Truck144098,381.0
Truck144111,354.0
Truck144136,290.0
Truck144137,290.0
Truck144120,337.0
Truck144134,306.0
Truck144086,429.0
Truck144102,389.0
Truck144143,290.0
Truck144127,333.0
Truck144139,309.0
Truck144115,373.0
Truck144118,370.0
Truck144150,290.0
Truck144146,305.0
Truck144147,305.0
Truck144152,290.0
Truck144145,313.0
Truck144135,340.0
Truck144154,290.0
Truck144155,290.0
Truck144157,290.0
Truck144131,356.0
Truck144083,480.0
Truck144153,305.0
Truck144158,290.0
Truck144142,332.0
Truck144138,344.0
Truck144141,341.0
Truck144124,384.0
Truck144162,290.0
Truck144159,303.0
Truck144148,334.0
Truck144166,290.0
Truck144163,305.0
Truck144168,290.0
Truck144169,290.0
Truck144140,362.0
Truck144165,305.0
Truck144170,290.0
Truck144171,290.0
Truck144167,302.0
Truck144172,290.0
Truck144173,290.0
Truck144156,332.0
Truck144144,364.0
Truck144174,290.0
Truck144160,327.0
Truck144177,290.0
Truck144179,290.0
Truck144181,290.0
Truck144183,290.0
Truck144151,371.0
Truck144149,380.0
Truck144184,290.0
Truck144185,290.0
Truck144164,344.0
Truck144186,290.0
Truck144188,290.0
Truck144190,290.0
Truck144191,290.0
Truck144178,325.0
Truck144180,320.0
Truck144161,374.0
Truck144197,290.0
Truck144193,303.0
Truck144192,308.0
Truck144201,290.0
Truck144175,358.0
Truck144202,290.0
Truck144204,290.0
Truck144205,290.0
Truck144198,306.0
Truck144189,335.0
Truck144206,290.0
Truck144200,307.0
Truck144210,290.0
Truck144211,290.0
Truck144176,376.0
Truck144199,321.0
Truck144207,302.0
Truck144194,333.0
Truck144212,290.0
Truck144209,301.0
Truck144195,340.0
Truck144182,375.0
Truck144217,290.0
Truck144219,290.0
Truck144214,306.0
Truck144187,377.0
Truck144222,290.0
Truck144224,290.0
Truck144226,290.0
Truck144223,304.0
Truck144225,300.0
Truck144208,341.0
Truck144231,290.0
Truck144233,290.0
Truck144236,290.0
Truck144238,290.0
Truck144241,290.0
Truck144228,322.0
Truck144221,345.0
Truck144243,290.0
Truck144220,346.0
Truck144196,407.0
Truck144218,353.0
Truck144246,290.0
Truck144216,370.0
Truck144249,290.0
Truck144240,314.0
Truck144251,290.0
Truck144213,386.0
Truck144229,347.0
Truck144247,304.0
Truck144253,290.0
Truck144235,337.0
Truck144245,314.0
Truck144254,290.0
Truck144248,307.0
Truck144244,320.0
Truck144256,290.0
Truck144255,300.0
Truck144259,290.0
Truck144230,365.0
Truck144260,290.0
Truck144232,361.0
Truck144215,415.0
Truck144203,448.0
Truck144237,364.0
Truck144239,362.0
Truck144265,300.0
Truck144269,290.0
Truck144261,312.0
Truck144263,307.0
Truck144242,359.0
Truck144270,290.0
Truck144271,290.0
Truck144252,338.0
Truck144272,290.0
Truck144279,290.0
Truck144280,290.0
Truck144281,290.0
Truck144283,290.0
Truck144266,331.0
Truck144276,307.0
Truck144257,359.0
Truck144262,345.0
Truck144258,360.0
Truck144287,290.0
Truck144289,290.0
Truck144227,448.0
Truck144250,389.0
Truck144285,308.0
Truck144274,339.0
Truck144294,290.0
Truck144278,332.0
Truck144282,322.0
Truck144298,290.0
Truck144273,360.0
Truck144300,290.0
Truck144301,290.0
Truck144302,290.0
Truck144290,325.0
Truck144305,290.0
Truck144284,341.0
Truck144296,313.0
Truck144277,364.0
Truck144293,325.0
Truck144306,290.0
Truck144234,473.0
Truck144303,304.0
Truck144295,325.0
Truck144308,290.0
Truck144264,403.0
Truck144310,290.0
Truck144311,290.0
Truck144268,396.0
Truck144299,324.0
Truck144312,290.0
Truck144309,304.0
Truck144314,290.0
Truck144297,339.0
